RowNumber,TeamName,Discipline,Country,Event
1,Belgium,3x3 Basketball,Belgium,Men
2,China,3x3 Basketball,People's Republic of China,Men
3,China,3x3 Basketball,People's Republic of China,Women
4,France,3x3 Basketball,France,Women
5,Italy,3x3 Basketball,Italy,Women
6,Japan,3x3 Basketball,Japan,Men
7,Japan,3x3 Basketball,Japan,Women
8,Latvia,3x3 Basketball,Latvia,Men
9,Mongolia,3x3 Basketball,Mongolia,Women
10,Netherlands,3x3 Basketball,Netherlands,Men
11,Poland,3x3 Basketball,Poland,Men
12,USA,3x3 Basketball,United States,Men
13,Australia,3x3 Basketball,Australia,Women
14,Canada,3x3 Basketball,Canada,Men
15,Russia,3x3 Basketball,Russia,Women
16,Spain,3x3 Basketball,Spain,Men
17,Brazil,3x3 Basketball,Brazil,Women
18,Italy,3x3 Basketball,Italy,Men
19,South Korea,3x3 Basketball,South Korea,Women
20,Greece,3x3 Basketball,Greece,Men
